current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.5351	1.2745	282.2864
1.0000	0.7385	0.7475	255.8288
2.0000	0.8051	0.5561	267.6410
3.0000	0.8448	0.4463	268.5024
4.0000	0.8713	0.3710	263.6621
5.0000	0.8883	0.3227	266.1101
6.0000	0.9048	0.2731	265.1438
7.0000	0.9167	0.2396	265.2885
8.0000	0.9233	0.2168	265.7428
9.0000	0.9312	0.1934	265.6362
10.0000	0.9377	0.1715	265.3501
11.0000	0.9430	0.1611	264.8136
12.0000	0.9521	0.1378	264.7129
13.0000	0.9520	0.1392	265.9396
14.0000	0.9564	0.1265	265.7036
15.0000	0.9563	0.1238	266.4220
16.0000	0.9600	0.1157	267.2377
17.0000	0.9604	0.1101	266.6502
18.0000	0.9631	0.1046	266.7729
19.0000	0.9636	0.1060	267.5122
20.0000	0.9680	0.0931	266.8358
21.0000	0.9639	0.1020	266.3468
22.0000	0.9646	0.1013	266.5091
23.0000	0.9658	0.0968	263.4427
24.0000	0.9690	0.0884	257.1471
25.0000	0.9686	0.0902	262.5019
26.0000	0.9704	0.0869	262.3082
27.0000	0.9700	0.0857	264.3011
28.0000	0.9728	0.0805	275.6059
29.0000	0.9709	0.0838	270.9832
30.0000	0.9727	0.0811	269.1970
31.0000	0.9720	0.0803	266.9954
32.0000	0.9757	0.0712	270.2423
33.0000	0.9757	0.0728	266.4460
34.0000	0.9730	0.0766	268.4928
35.0000	0.9742	0.0733	267.2648
36.0000	0.9750	0.0721	268.2323
37.0000	0.9759	0.0706	272.2284
38.0000	0.9766	0.0663	272.8246
39.0000	0.9811	0.0541	264.7000
40.0000	0.9763	0.0693	269.5560
41.0000	0.9791	0.0610	269.5988
42.0000	0.9786	0.0616	260.2483
43.0000	0.9802	0.0590	269.4037
44.0000	0.9820	0.0534	276.1241
45.0000	0.9794	0.0587	272.7306
46.0000	0.9817	0.0527	273.4939
47.0000	0.9851	0.0442	270.5178
48.0000	0.9830	0.0501	269.0081
49.0000	0.9824	0.0524	273.7154
50.0000	0.9829	0.0488	272.6195
51.0000	0.9833	0.0491	272.4081
52.0000	0.9885	0.0346	271.7332
53.0000	0.9855	0.0419	269.8071
54.0000	0.9874	0.0375	271.4794
55.0000	0.9888	0.0348	273.5503
56.0000	0.9883	0.0359	271.7536
57.0000	0.9839	0.0471	270.8032
58.0000	0.9926	0.0232	269.8674
59.0000	0.9890	0.0331	269.1238
60.0000	0.9918	0.0258	264.7906
61.0000	0.9882	0.0359	259.6628
