current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.1013	2.3026	14.1228
1.0000	0.1587	2.2920	15.7806
0.0000	0.1001	2.3019	14.7112
1.0000	0.1364	2.2943	13.8406
0.0000	0.1009	2.3021	64.2711
1.0000	0.1327	2.2987	63.5514
0.0000	0.1010	2.3026	68.5351
0.0000	0.1347	2.2956	60.1514
1.0000	0.1734	2.2521	62.8789
0.0000	0.1511	2.2861	58.3805
1.0000	0.1829	2.1896	62.5724
0.0000	0.1357	2.2994	63.1068
1.0000	0.1618	2.2798	61.0764
0.0000	0.1293	2.2929	64.7934
1.0000	0.1736	2.2244	57.8463
0.0000	0.1110	2.2986	63.8426
1.0000	0.1169	2.2859	65.8152
0.0000	0.1110	2.2985	65.7846
1.0000	0.1167	2.2854	61.5969
0.0000	0.1113	2.2984	56.9825
1.0000	0.1181	2.2848	55.8714
0.0000	0.1249	2.2956	59.8887
1.0000	0.1460	2.2562	57.5265
0.0000	0.1033	2.2988	62.4224
1.0000	0.1164	2.2746	60.8685
0.0000	0.1110	2.2985	53.1431
1.0000	0.1183	2.2856	50.1069
2.0000	0.1846	2.2248	50.0120
3.0000	0.2081	2.1248	50.0192
4.0000	0.2240	2.0803	49.9954
5.0000	0.2371	2.0517	50.0311
6.0000	0.2467	2.0222	50.1548
7.0000	0.2580	1.9942	49.9754
8.0000	0.2692	1.9669	50.0346
9.0000	0.2795	1.9414	50.1051
10.0000	0.2886	1.9172	50.0861
11.0000	0.2970	1.8934	50.0961
12.0000	0.3010	1.8727	50.1078
13.0000	0.3078	1.8547	50.0835
14.0000	0.3136	1.8404	50.0948
15.0000	0.3208	1.8214	50.1079
16.0000	0.3271	1.8081	50.0795
17.0000	0.3321	1.7952	50.1066
18.0000	0.3347	1.7827	50.0479
19.0000	0.3411	1.7700	50.0505
20.0000	0.3476	1.7566	50.0500
21.0000	0.3509	1.7440	50.0473
22.0000	0.3551	1.7314	50.0789
23.0000	0.3624	1.7199	50.0018
24.0000	0.3651	1.7107	50.0612
25.0000	0.3692	1.7027	50.0613
26.0000	0.3733	1.6891	50.0708
27.0000	0.3776	1.6790	50.1892
28.0000	0.3813	1.6698	50.0587
