current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.1105	2.2985	52.0956
0.0000	0.1106	2.2985	49.9360
0.0000	0.1240	2.2957	51.1936
0.0000	0.1112	2.2985	52.0095
0.0000	0.1103	2.2985	49.9217
0.0000	0.1240	2.2957	51.3827
0.0000	0.1061	2.2988	54.7573
0.0000	0.1106	2.2985	50.5739
0.0000	0.1243	2.2956	51.6383
0.0000	0.1049	2.2988	54.2682
0.0000	0.1107	2.2985	54.6885
1.0000	0.1181	2.2854	52.1776
2.0000	0.1834	2.2238	52.1756
3.0000	0.2087	2.1239	51.5920
4.0000	0.2248	2.0801	51.6871
5.0000	0.2362	2.0513	52.0616
6.0000	0.2484	2.0217	52.3580
7.0000	0.2597	1.9930	51.7905
8.0000	0.2697	1.9656	51.2087
9.0000	0.2804	1.9395	51.2717
10.0000	0.2898	1.9150	51.3045
11.0000	0.2982	1.8913	50.5712
12.0000	0.3016	1.8707	50.2452
13.0000	0.3088	1.8518	50.3207
14.0000	0.3127	1.8382	50.3586
15.0000	0.3202	1.8175	50.3114
16.0000	0.3258	1.8048	50.2382
17.0000	0.3293	1.7921	50.2762
18.0000	0.3340	1.7796	50.3014
19.0000	0.3405	1.7672	50.3195
20.0000	0.3474	1.7541	50.3720
21.0000	0.3491	1.7410	50.2333
22.0000	0.3580	1.7288	50.2426
23.0000	0.3619	1.7171	50.2747
24.0000	0.3643	1.7079	50.3323
25.0000	0.3674	1.6987	50.2589
26.0000	0.3743	1.6859	50.2165
27.0000	0.3781	1.6749	50.2793
28.0000	0.3836	1.6647	50.2493
29.0000	0.3859	1.6575	50.2492
30.0000	0.3947	1.6427	50.2203
31.0000	0.3961	1.6392	50.2478
32.0000	0.4000	1.6262	50.2664
33.0000	0.4041	1.6162	50.1557
34.0000	0.4082	1.6065	50.0232
35.0000	0.4132	1.5979	50.1735
36.0000	0.4184	1.5831	50.0633
37.0000	0.4218	1.5766	50.1943
38.0000	0.4239	1.5652	50.0438
39.0000	0.4302	1.5599	50.1595
40.0000	0.4356	1.5515	50.3649
41.0000	0.4390	1.5421	50.4580
42.0000	0.4424	1.5353	50.2418
43.0000	0.4445	1.5279	50.3824
44.0000	0.4511	1.5150	50.3397
45.0000	0.4533	1.5109	50.3496
46.0000	0.4559	1.5054	50.2385
47.0000	0.4578	1.4967	50.4354
48.0000	0.4586	1.4933	50.2636
49.0000	0.4613	1.4838	50.3790
50.0000	0.4656	1.4765	50.2394
51.0000	0.4687	1.4718	50.4254
52.0000	0.4716	1.4644	50.3921
53.0000	0.4725	1.4620	50.3902
54.0000	0.4761	1.4558	50.2618
55.0000	0.4780	1.4490	50.4371
56.0000	0.4804	1.4446	50.3816
57.0000	0.4822	1.4371	50.3664
58.0000	0.4884	1.4322	50.2287
59.0000	0.4869	1.4273	50.3942
60.0000	0.4900	1.4219	50.2467
61.0000	0.4909	1.4188	50.4264
62.0000	0.4963	1.4113	50.2831
63.0000	0.4924	1.4100	50.4129
64.0000	0.4972	1.4019	50.2126
65.0000	0.5014	1.3978	50.3750
66.0000	0.5022	1.3934	50.2793
67.0000	0.5054	1.3845	50.3671
68.0000	0.5059	1.3856	50.4773
69.0000	0.5083	1.3763	50.9548
70.0000	0.5103	1.3715	50.7171
71.0000	0.5129	1.3622	50.3349
72.0000	0.5156	1.3556	50.2772
73.0000	0.5144	1.3550	50.3958
74.0000	0.5180	1.3449	50.3060
75.0000	0.5198	1.3445	50.4729
76.0000	0.5242	1.3360	50.3178
77.0000	0.5275	1.3293	50.3920
78.0000	0.5274	1.3262	50.3232
79.0000	0.5288	1.3204	50.4121
80.0000	0.5325	1.3146	50.3986
81.0000	0.5307	1.3115	50.3603
82.0000	0.5370	1.3036	50.2464
83.0000	0.5360	1.3007	50.5240
84.0000	0.5378	1.2924	50.4554
85.0000	0.5384	1.2929	50.4113
86.0000	0.5459	1.2814	50.3219
87.0000	0.5443	1.2791	50.5018
88.0000	0.5468	1.2783	50.3321
89.0000	0.5481	1.2704	50.4445
90.0000	0.5506	1.2627	50.3896
91.0000	0.5543	1.2583	50.4186
92.0000	0.5561	1.2550	50.3102
93.0000	0.5545	1.2543	50.4116
94.0000	0.5580	1.2471	50.4242
95.0000	0.5592	1.2446	50.4021
96.0000	0.5603	1.2348	50.3473
97.0000	0.5617	1.2340	50.4501
98.0000	0.5646	1.2299	50.3662
99.0000	0.5667	1.2240	50.7830
0.0000	0.1262	2.2957	52.3020
1.0000	0.1470	2.2572	52.5066
2.0000	0.1801	2.1754	52.5655
3.0000	0.2102	2.1056	52.4769
4.0000	0.2248	2.0789	52.4226
5.0000	0.2352	2.0554	52.5296
6.0000	0.2470	2.0279	52.4710
7.0000	0.2582	1.9994	52.4565
8.0000	0.2686	1.9698	52.4531
9.0000	0.2768	1.9415	52.4780
10.0000	0.2874	1.9124	52.4274
11.0000	0.3001	1.8848	52.5966
12.0000	0.3072	1.8578	52.5664
13.0000	0.3162	1.8354	52.4781
14.0000	0.3206	1.8204	52.2851
15.0000	0.3248	1.8063	52.3220
16.0000	0.3301	1.7940	52.3043
17.0000	0.3358	1.7799	52.3343
18.0000	0.3418	1.7667	52.2300
19.0000	0.3465	1.7516	52.3309
20.0000	0.3510	1.7406	52.3198
21.0000	0.3561	1.7261	52.3195
22.0000	0.3611	1.7128	52.2819
23.0000	0.3662	1.6988	52.3770
24.0000	0.3723	1.6889	52.2747
25.0000	0.3754	1.6749	52.3593
26.0000	0.3826	1.6586	52.2479
27.0000	0.3880	1.6481	52.3480
28.0000	0.3911	1.6375	52.2603
29.0000	0.3953	1.6296	52.3707
30.0000	0.3989	1.6202	52.3138
31.0000	0.4051	1.6048	52.3525
32.0000	0.4103	1.5989	52.2793
33.0000	0.4163	1.5878	52.4158
34.0000	0.4188	1.5816	52.3277
35.0000	0.4254	1.5642	52.3565
36.0000	0.4265	1.5586	52.2490
37.0000	0.4300	1.5524	52.4071
38.0000	0.4343	1.5391	52.2920
39.0000	0.4390	1.5316	52.3966
40.0000	0.4417	1.5232	52.3085
41.0000	0.4476	1.5103	52.3861
42.0000	0.4520	1.5022	52.3645
43.0000	0.4565	1.4910	52.3882
44.0000	0.4589	1.4842	52.3304
45.0000	0.4637	1.4736	52.3920
46.0000	0.4646	1.4658	52.3540
47.0000	0.4701	1.4587	52.3866
48.0000	0.4738	1.4484	52.3531
49.0000	0.4772	1.4402	52.3590
50.0000	0.4809	1.4321	52.3456
51.0000	0.4856	1.4196	52.3650
52.0000	0.4911	1.4107	52.3350
53.0000	0.4925	1.4040	52.3567
54.0000	0.4973	1.3963	52.3300
55.0000	0.4988	1.3891	52.3879
56.0000	0.5018	1.3821	52.4539
57.0000	0.5080	1.3744	52.4508
58.0000	0.5084	1.3696	52.4403
59.0000	0.5109	1.3627	52.4274
60.0000	0.5157	1.3524	52.5266
61.0000	0.5170	1.3462	52.3978
62.0000	0.5192	1.3425	52.3708
63.0000	0.5233	1.3327	52.3738
64.0000	0.5229	1.3298	52.3599
65.0000	0.5280	1.3259	52.3750
66.0000	0.5289	1.3168	52.3424
67.0000	0.5305	1.3139	52.3712
68.0000	0.5334	1.3061	52.3456
69.0000	0.5382	1.2978	52.3633
70.0000	0.5380	1.2966	52.3346
71.0000	0.5397	1.2853	52.3583
72.0000	0.5413	1.2843	52.3318
73.0000	0.5428	1.2819	52.3232
74.0000	0.5479	1.2732	52.4180
75.0000	0.5480	1.2667	52.3195
76.0000	0.5498	1.2602	52.4202
77.0000	0.5550	1.2554	52.3823
78.0000	0.5553	1.2472	52.4194
79.0000	0.5555	1.2476	52.4544
80.0000	0.5572	1.2402	52.3941
81.0000	0.5605	1.2404	52.3397
82.0000	0.5625	1.2343	52.3104
83.0000	0.5650	1.2281	52.3461
84.0000	0.5648	1.2228	52.3129
85.0000	0.5644	1.2206	52.3377
86.0000	0.5666	1.2173	52.3132
87.0000	0.5712	1.2103	52.3167
88.0000	0.5722	1.2030	52.2948
89.0000	0.5733	1.1991	52.3193
90.0000	0.5776	1.1905	52.3423
91.0000	0.5782	1.1883	52.3688
92.0000	0.5785	1.1847	52.3319
93.0000	0.5823	1.1808	52.3236
94.0000	0.5809	1.1780	52.3398
95.0000	0.5814	1.1767	52.3326
96.0000	0.5878	1.1685	52.3127
97.0000	0.5841	1.1684	52.3451
98.0000	0.5861	1.1614	52.4683
99.0000	0.5893	1.1553	52.4842
0.0000	0.1041	2.2988	56.1988
1.0000	0.1155	2.2750	56.0597
2.0000	0.1758	2.1855	56.2015
3.0000	0.2191	2.0932	56.2387
4.0000	0.2313	2.0613	56.3263
5.0000	0.2415	2.0310	56.2491
6.0000	0.2554	1.9977	56.2200
7.0000	0.2699	1.9623	56.1350
8.0000	0.2822	1.9269	56.2346
9.0000	0.2937	1.8935	56.1985
10.0000	0.2996	1.8678	55.6009
11.0000	0.3055	1.8497	55.5349
12.0000	0.3110	1.8316	55.5643
13.0000	0.3189	1.8144	55.5455
14.0000	0.3251	1.7993	55.7984
15.0000	0.3334	1.7812	55.9032
16.0000	0.3399	1.7655	55.6438
17.0000	0.3449	1.7509	55.6495
18.0000	0.3496	1.7357	55.3456
19.0000	0.3577	1.7217	55.0693
20.0000	0.3611	1.7103	55.2739
21.0000	0.3676	1.6948	55.1508
22.0000	0.3732	1.6790	55.0278
23.0000	0.3780	1.6696	55.0973
24.0000	0.3852	1.6573	55.1054
25.0000	0.3876	1.6469	55.1123
26.0000	0.3917	1.6351	54.9911
27.0000	0.3970	1.6229	55.0298
28.0000	0.4016	1.6120	55.0318
29.0000	0.4075	1.6046	55.0286
30.0000	0.4108	1.5941	55.2263
31.0000	0.4157	1.5845	55.1113
32.0000	0.4196	1.5728	54.9937
33.0000	0.4246	1.5630	55.0140
34.0000	0.4247	1.5574	55.0386
35.0000	0.4331	1.5496	55.1195
36.0000	0.4378	1.5354	54.9731
37.0000	0.4410	1.5288	54.9995
38.0000	0.4457	1.5152	55.0531
39.0000	0.4486	1.5104	55.0295
40.0000	0.4522	1.5007	55.2056
41.0000	0.4548	1.4939	55.1098
42.0000	0.4599	1.4850	55.0309
43.0000	0.4591	1.4826	55.2245
44.0000	0.4637	1.4687	55.2059
45.0000	0.4665	1.4614	55.1605
46.0000	0.4713	1.4577	55.0550
47.0000	0.4743	1.4469	55.0317
48.0000	0.4765	1.4422	55.1143
49.0000	0.4781	1.4382	55.0658
50.0000	0.4812	1.4297	55.2904
51.0000	0.4838	1.4229	55.1365
52.0000	0.4844	1.4151	55.0601
53.0000	0.4900	1.4104	55.0522
54.0000	0.4894	1.4072	55.1127
55.0000	0.4960	1.3999	55.1548
56.0000	0.4938	1.3934	54.9859
57.0000	0.4986	1.3835	55.1458
58.0000	0.5004	1.3831	55.0715
59.0000	0.5018	1.3764	55.0179
60.0000	0.5057	1.3659	55.0868
61.0000	0.5059	1.3645	55.1436
62.0000	0.5116	1.3578	55.1083
63.0000	0.5142	1.3492	55.1255
64.0000	0.5155	1.3412	55.0637
65.0000	0.5174	1.3369	55.1646
66.0000	0.5221	1.3286	54.9963
67.0000	0.5236	1.3210	55.0256
68.0000	0.5228	1.3190	55.0902
69.0000	0.5281	1.3110	55.1520
70.0000	0.5297	1.3056	55.1076
71.0000	0.5312	1.2997	55.0762
72.0000	0.5348	1.2938	55.0434
73.0000	0.5349	1.2905	55.1083
74.0000	0.5375	1.2853	55.0950
75.0000	0.5429	1.2771	55.0183
76.0000	0.5451	1.2731	55.1867
77.0000	0.5459	1.2665	55.0365
78.0000	0.5474	1.2612	55.0093
79.0000	0.5485	1.2570	55.0386
