current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.1095	2.2867	15.6471
1.0000	0.1489	2.2355	16.0709
0.0000	0.1103	2.2843	15.1868
1.0000	0.1356	2.2458	15.4331
0.0000	0.1106	2.2973	67.6496
1.0000	0.1119	2.2748	65.7471
0.0000	0.1044	2.2890	63.2062
1.0000	0.1722	2.1705	58.8215
0.0000	0.1480	2.2697	58.6980
1.0000	0.1948	2.1460	58.2812
0.0000	0.1424	2.2880	62.7140
1.0000	0.1650	2.2233	59.9051
0.0000	0.1288	2.2973	65.9843
1.0000	0.1605	2.2558	62.6556
0.0000	0.1220	2.2774	60.7300
1.0000	0.1749	2.1740	57.3220
0.0000	0.1222	2.2775	57.4771
1.0000	0.1722	2.1737	65.1284
0.0000	0.1214	2.2774	56.9622
1.0000	0.1737	2.1727	59.8307
0.0000	0.1125	2.2939	58.8476
1.0000	0.1310	2.2400	62.3516
0.0000	0.1292	2.2910	61.9012
1.0000	0.1759	2.2155	62.0127
