current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.1217	2.2773	49.4919
0.0000	0.1114	2.2940	51.9006
0.0000	0.1221	2.2776	51.8784
0.0000	0.1228	2.2774	49.5712
0.0000	0.1129	2.2940	51.6943
0.0000	0.1276	2.2907	55.1491
0.0000	0.1222	2.2775	50.1364
0.0000	0.1132	2.2940	51.9799
0.0000	0.1261	2.2907	54.5348
0.0000	0.1222	2.2776	51.2427
1.0000	0.1768	2.1730	50.4524
2.0000	0.2237	2.0632	50.4050
3.0000	0.2414	2.0064	50.3814
4.0000	0.2554	1.9773	50.4084
5.0000	0.2678	1.9492	50.4028
6.0000	0.2795	1.9233	50.3812
7.0000	0.2904	1.8996	50.4168
8.0000	0.2971	1.8770	50.4373
9.0000	0.3046	1.8524	50.3661
10.0000	0.3101	1.8312	50.4276
11.0000	0.3147	1.8081	50.4410
12.0000	0.3244	1.7884	50.3935
13.0000	0.3323	1.7675	50.4407
14.0000	0.3411	1.7499	50.4239
15.0000	0.3445	1.7359	50.3884
16.0000	0.3506	1.7220	50.4139
17.0000	0.3554	1.7080	50.3662
18.0000	0.3606	1.6964	50.4563
19.0000	0.3683	1.6825	50.5443
20.0000	0.3691	1.6696	50.3734
21.0000	0.3760	1.6572	50.3060
22.0000	0.3779	1.6491	50.3952
23.0000	0.3846	1.6328	50.4001
24.0000	0.3900	1.6232	50.2446
25.0000	0.3939	1.6131	50.4196
26.0000	0.3992	1.6007	50.3638
27.0000	0.4007	1.5934	50.2526
28.0000	0.4021	1.5836	50.3654
29.0000	0.4082	1.5733	50.4089
30.0000	0.4109	1.5654	50.2549
31.0000	0.4147	1.5561	50.3969
32.0000	0.4213	1.5428	50.3794
33.0000	0.4243	1.5376	50.2864
34.0000	0.4269	1.5288	50.3794
35.0000	0.4288	1.5199	50.4042
36.0000	0.4326	1.5132	50.2239
37.0000	0.4367	1.5072	50.3727
38.0000	0.4377	1.4984	50.3722
39.0000	0.4433	1.4900	50.3014
40.0000	0.4417	1.4860	50.5046
41.0000	0.4502	1.4773	50.4725
42.0000	0.4501	1.4706	50.2646
43.0000	0.4547	1.4633	50.3893
44.0000	0.4576	1.4570	50.3780
45.0000	0.4612	1.4506	50.2616
46.0000	0.4622	1.4417	50.3657
47.0000	0.4655	1.4400	50.3900
48.0000	0.4698	1.4277	50.2462
49.0000	0.4742	1.4212	50.4030
50.0000	0.4765	1.4147	50.4017
51.0000	0.4788	1.4080	50.2838
52.0000	0.4821	1.4024	50.3574
53.0000	0.4866	1.3927	50.4006
54.0000	0.4894	1.3855	50.2131
55.0000	0.4912	1.3819	50.4103
56.0000	0.4959	1.3745	50.3666
57.0000	0.4957	1.3700	50.2741
58.0000	0.4991	1.3645	50.3510
59.0000	0.5025	1.3539	50.4328
60.0000	0.5038	1.3513	50.2328
61.0000	0.5082	1.3427	50.4672
62.0000	0.5073	1.3415	50.5015
63.0000	0.5144	1.3285	50.3369
64.0000	0.5139	1.3282	50.4140
65.0000	0.5153	1.3240	50.4136
66.0000	0.5212	1.3148	50.2210
67.0000	0.5220	1.3074	50.3792
68.0000	0.5260	1.3010	50.4089
69.0000	0.5260	1.2954	50.2886
70.0000	0.5306	1.2901	50.3455
71.0000	0.5325	1.2851	50.3959
72.0000	0.5354	1.2784	50.2982
73.0000	0.5382	1.2701	50.4071
74.0000	0.5415	1.2669	50.5120
75.0000	0.5412	1.2647	50.2892
76.0000	0.5425	1.2574	50.5085
77.0000	0.5464	1.2482	50.4235
78.0000	0.5462	1.2447	50.2215
79.0000	0.5525	1.2363	50.3875
80.0000	0.5542	1.2328	50.4963
81.0000	0.5558	1.2287	50.2687
82.0000	0.5557	1.2240	50.5228
83.0000	0.5606	1.2152	50.4777
84.0000	0.5629	1.2097	50.4920
85.0000	0.5643	1.2127	50.4332
86.0000	0.5658	1.1998	50.4102
87.0000	0.5642	1.1996	50.3301
88.0000	0.5688	1.1918	50.5643
89.0000	0.5692	1.1874	50.4373
90.0000	0.5744	1.1803	50.4190
91.0000	0.5767	1.1732	50.4299
92.0000	0.5783	1.1736	50.5316
93.0000	0.5809	1.1664	50.3091
94.0000	0.5821	1.1597	50.5421
95.0000	0.5853	1.1545	50.4305
96.0000	0.5864	1.1526	50.4006
97.0000	0.5901	1.1464	50.4411
98.0000	0.5899	1.1448	50.5587
99.0000	0.5921	1.1390	50.3137
0.0000	0.1156	2.2940	52.4538
1.0000	0.1304	2.2409	52.3556
2.0000	0.2116	2.1356	52.3709
3.0000	0.2270	2.0767	52.3463
4.0000	0.2369	2.0549	52.4137
5.0000	0.2434	2.0320	52.4284
6.0000	0.2566	2.0046	52.5088
7.0000	0.2643	1.9772	52.3479
8.0000	0.2745	1.9519	52.4066
9.0000	0.2848	1.9259	52.4220
10.0000	0.2939	1.8984	52.5068
11.0000	0.3023	1.8715	52.6252
12.0000	0.3107	1.8480	52.4647
13.0000	0.3165	1.8301	52.4845
14.0000	0.3242	1.8130	52.3801
15.0000	0.3316	1.7974	52.4060
16.0000	0.3380	1.7837	52.4172
17.0000	0.3453	1.7665	52.4126
18.0000	0.3480	1.7522	52.4077
19.0000	0.3544	1.7393	52.4331
20.0000	0.3633	1.7252	52.4049
21.0000	0.3656	1.7133	52.4117
22.0000	0.3704	1.6992	52.4196
23.0000	0.3753	1.6863	52.5146
24.0000	0.3806	1.6757	52.4221
25.0000	0.3846	1.6630	52.4224
26.0000	0.3916	1.6495	52.4283
27.0000	0.3940	1.6401	52.4962
28.0000	0.3981	1.6330	52.3875
29.0000	0.4031	1.6196	52.5046
30.0000	0.4048	1.6121	52.3506
31.0000	0.4108	1.6014	52.5759
32.0000	0.4114	1.5949	52.5284
33.0000	0.4156	1.5835	52.4099
34.0000	0.4186	1.5755	52.3970
35.0000	0.4245	1.5652	52.4318
36.0000	0.4258	1.5571	52.3975
37.0000	0.4300	1.5519	52.4252
38.0000	0.4361	1.5417	52.4064
39.0000	0.4391	1.5348	52.4961
40.0000	0.4417	1.5276	52.3823
41.0000	0.4436	1.5191	52.4580
42.0000	0.4477	1.5120	52.4066
43.0000	0.4538	1.5008	52.5060
44.0000	0.4555	1.4935	52.3860
45.0000	0.4584	1.4890	52.4498
46.0000	0.4626	1.4772	52.4180
47.0000	0.4623	1.4737	52.4159
48.0000	0.4694	1.4611	52.4017
49.0000	0.4723	1.4501	52.4989
50.0000	0.4742	1.4480	52.4263
51.0000	0.4785	1.4370	52.4217
52.0000	0.4823	1.4301	52.5413
53.0000	0.4856	1.4211	52.5860
54.0000	0.4930	1.4114	52.4450
55.0000	0.4950	1.4020	52.4443
56.0000	0.4954	1.3970	52.4491
57.0000	0.4974	1.3882	52.5452
58.0000	0.5064	1.3791	52.4510
59.0000	0.5087	1.3737	52.5067
60.0000	0.5113	1.3637	52.3998
61.0000	0.5142	1.3554	52.4366
62.0000	0.5174	1.3496	52.4436
63.0000	0.5163	1.3498	52.4501
64.0000	0.5232	1.3377	52.4541
65.0000	0.5246	1.3293	52.4790
66.0000	0.5237	1.3283	52.4465
67.0000	0.5288	1.3217	52.4451
68.0000	0.5303	1.3173	52.4591
69.0000	0.5342	1.3113	52.5377
70.0000	0.5370	1.3015	52.4296
71.0000	0.5376	1.2978	52.4790
72.0000	0.5411	1.2896	52.4809
73.0000	0.5386	1.2897	52.6105
74.0000	0.5439	1.2811	52.4730
75.0000	0.5476	1.2692	52.5038
76.0000	0.5488	1.2680	52.4581
77.0000	0.5483	1.2627	52.5004
78.0000	0.5509	1.2570	52.4283
79.0000	0.5551	1.2534	52.4767
80.0000	0.5549	1.2509	52.4610
81.0000	0.5583	1.2467	52.4697
82.0000	0.5591	1.2410	52.4718
83.0000	0.5604	1.2362	52.5547
84.0000	0.5628	1.2304	52.4537
85.0000	0.5658	1.2253	52.4626
86.0000	0.5649	1.2206	52.4524
87.0000	0.5684	1.2160	52.5480
88.0000	0.5694	1.2147	52.4732
89.0000	0.5720	1.2094	52.4827
90.0000	0.5711	1.2089	52.4712
91.0000	0.5723	1.2010	52.5601
92.0000	0.5758	1.1966	52.4650
93.0000	0.5781	1.1932	52.5746
94.0000	0.5798	1.1892	52.5088
95.0000	0.5811	1.1856	52.5516
96.0000	0.5824	1.1792	52.4520
97.0000	0.5842	1.1765	52.4858
98.0000	0.5815	1.1767	53.1610
99.0000	0.5897	1.1679	54.1269
0.0000	0.1316	2.2908	55.2977
1.0000	0.1740	2.2142	55.0719
