current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.1600	2.3485	1.1086
1.0000	0.3417	2.2383	1.1222
0.0000	0.1933	2.3308	1.3079
0.0000	0.1250	2.3514	1.2629
1.0000	0.2633	2.2580	1.2389
0.0000	0.1208	2.3807	1.6240
1.0000	0.1708	2.3240	0.7735
0.0000	0.1500	2.3929	1.3087
1.0000	0.1417	2.3322	0.6054
0.0000	0.1042	2.4057	1.3786
1.0000	0.1792	2.3359	0.6825
0.0000	0.0958	2.3727	1.3957
1.0000	0.1250	2.3298	0.5684
0.0000	0.1083	2.3919	1.3901
0.0000	0.1708	2.3699	1.3881
0.0000	0.0667	2.4138	1.4067
1.0000	0.1667	2.3504	0.6034
0.0000	0.1208	2.3870	1.3372
1.0000	0.2125	2.3218	0.5874
0.0000	0.1083	2.3931	1.3733
1.0000	0.2292	2.3300	0.6234
0.0000	0.1167	2.3873	1.3405
1.0000	0.1958	2.3326	0.6004
0.0000	0.1125	2.4031	1.3860
1.0000	0.2333	2.3500	0.6655
0.0000	0.1917	2.3827	1.3796
1.0000	0.2083	2.3303	0.5654
0.0000	0.1083	2.3854	1.3866
1.0000	0.2458	2.3307	0.5904
0.0000	0.1125	2.4083	1.4150
1.0000	0.2208	2.3427	0.5824
0.0000	0.1042	2.3850	1.3768
1.0000	0.2667	2.3273	0.6194
0.0000	0.1167	2.3828	1.3178
1.0000	0.1917	2.3185	0.6134
0.0000	0.1875	2.3678	1.3929
1.0000	0.1708	2.3112	0.6224
0.0000	0.0750	2.3726	1.3088
1.0000	0.1333	2.3187	0.5704
0.0000	0.0833	2.3971	1.3409
1.0000	0.1750	2.3343	0.6054
0.0000	0.0667	2.3746	1.3347
1.0000	0.1208	2.3265	0.6214
0.0000	0.1333	2.3911	1.3790
1.0000	0.1208	2.3406	0.5934
