current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.3777	2.1524	0.3102
1.0000	0.6557	1.6009	0.3162
2.0000	0.7649	1.0988	0.3152
3.0000	0.8137	0.8285	0.3222
4.0000	0.8399	0.6837	0.3292
5.0000	0.8559	0.5960	0.3182
6.0000	0.8687	0.5270	0.3172
0.0000	0.3879	2.1548	0.2882
1.0000	0.6723	1.6018	0.2852
2.0000	0.7684	1.0887	0.2882
3.0000	0.8172	0.8197	0.2822
4.0000	0.8419	0.6776	0.2842
5.0000	0.8535	0.5925	0.2872
6.0000	0.8667	0.5244	0.2842
7.0000	0.8710	0.4965	0.2852
8.0000	0.8792	0.4645	0.2862
9.0000	0.8814	0.4442	0.2872
10.0000	0.8897	0.4135	0.2892
11.0000	0.8862	0.4125	0.2892
12.0000	0.8950	0.3849	0.3062
13.0000	0.8953	0.3845	0.2842
14.0000	0.8986	0.3676	0.2852
15.0000	0.8981	0.3561	0.2852
16.0000	0.9010	0.3583	0.2862
17.0000	0.9062	0.3422	0.3202
18.0000	0.8986	0.3529	0.2852
19.0000	0.9025	0.3408	0.2892
20.0000	0.9055	0.3400	0.2872
21.0000	0.9133	0.3181	0.2852
22.0000	0.9103	0.3105	0.2872
23.0000	0.9093	0.3165	0.2822
24.0000	0.9105	0.3107	0.2822
25.0000	0.9137	0.3082	0.3042
26.0000	0.9130	0.3058	0.2962
27.0000	0.9159	0.2941	0.2862
28.0000	0.9147	0.2957	0.2842
29.0000	0.9144	0.2970	0.2872
30.0000	0.9094	0.3101	0.2842
31.0000	0.9181	0.2832	0.2792
32.0000	0.9143	0.2957	0.2812
33.0000	0.9166	0.2861	0.2832
34.0000	0.9213	0.2816	0.3162
35.0000	0.9188	0.2767	0.2872
36.0000	0.9263	0.2628	0.2862
37.0000	0.9226	0.2814	0.2842
38.0000	0.9215	0.2783	0.2832
39.0000	0.9215	0.2714	0.2832
40.0000	0.9202	0.2739	0.2832
41.0000	0.9318	0.2489	0.2862
42.0000	0.9240	0.2533	0.2862
43.0000	0.9256	0.2615	0.2842
44.0000	0.9260	0.2557	0.2832
45.0000	0.9266	0.2526	0.2952
46.0000	0.9283	0.2509	0.2862
47.0000	0.9246	0.2625	0.2862
48.0000	0.9304	0.2513	0.2862
49.0000	0.9295	0.2488	0.2822
0.0000	0.3875	2.1574	0.2722
1.0000	0.6699	1.6182	0.2812
2.0000	0.7676	1.1006	0.2852
3.0000	0.8158	0.8250	0.3022
4.0000	0.8398	0.6801	0.2842
5.0000	0.8567	0.5918	0.2892
6.0000	0.8700	0.5228	0.2862
7.0000	0.8740	0.4942	0.2882
8.0000	0.8804	0.4628	0.2872
9.0000	0.8812	0.4424	0.3002
10.0000	0.8900	0.4123	0.2882
11.0000	0.8870	0.4108	0.2952
12.0000	0.8946	0.3838	0.2882
13.0000	0.8957	0.3833	0.2842
14.0000	0.8979	0.3672	0.2892
15.0000	0.8972	0.3562	0.3082
16.0000	0.8996	0.3574	0.2882
17.0000	0.9049	0.3414	0.2852
18.0000	0.8989	0.3527	0.2832
19.0000	0.9027	0.3406	0.2882
20.0000	0.9042	0.3403	0.2892
21.0000	0.9133	0.3177	0.2832
22.0000	0.9107	0.3103	0.2842
23.0000	0.9087	0.3157	0.2842
24.0000	0.9111	0.3103	0.2852
25.0000	0.9137	0.3073	0.2962
26.0000	0.9134	0.3042	0.2862
27.0000	0.9167	0.2931	0.2872
28.0000	0.9161	0.2952	0.2862
29.0000	0.9160	0.2970	0.2842
30.0000	0.9094	0.3101	0.2832
31.0000	0.9167	0.2832	0.3092
32.0000	0.9149	0.2947	0.2882
33.0000	0.9167	0.2854	0.2902
34.0000	0.9214	0.2817	0.2932
35.0000	0.9198	0.2766	0.3042
36.0000	0.9262	0.2615	0.2862
37.0000	0.9202	0.2805	0.2852
38.0000	0.9219	0.2779	0.2882
39.0000	0.9211	0.2712	0.2852
40.0000	0.9199	0.2748	0.2862
41.0000	0.9304	0.2488	0.2882
42.0000	0.9241	0.2528	0.3012
43.0000	0.9248	0.2606	0.2882
44.0000	0.9250	0.2555	0.2892
45.0000	0.9261	0.2514	0.2872
46.0000	0.9283	0.2519	0.2872
47.0000	0.9248	0.2635	0.2882
48.0000	0.9311	0.2498	0.3112
49.0000	0.9295	0.2482	0.2872
0.0000	0.1500	2.2909	0.0871
