current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.5029	1.3597	65.1184
0.0000	0.5014	1.3639	60.2612
0.0000	0.5033	1.3606	60.2021
1.0000	0.6587	0.9553	60.1809
2.0000	0.7224	0.7869	60.3958
3.0000	0.7671	0.6707	60.7068
4.0000	0.7970	0.5861	60.5532
5.0000	0.8188	0.5229	60.7884
6.0000	0.8376	0.4719	60.5958
7.0000	0.8501	0.4319	60.7353
8.0000	0.8626	0.3977	60.6507
9.0000	0.8745	0.3616	60.9594
0.0000	0.4876	1.4004	58.2276
10.0000	0.8839	0.3335	61.2320
1.0000	0.6487	0.9813	58.5689
11.0000	0.8934	0.3074	61.2996
2.0000	0.7116	0.8142	58.7360
0.0000	0.4879	1.4012	58.2537
1.0000	0.6475	0.9792	58.4534
2.0000	0.7142	0.8108	58.4866
3.0000	0.7576	0.6893	58.6281
4.0000	0.7895	0.6026	58.5228
5.0000	0.8167	0.5280	58.6590
6.0000	0.8369	0.4700	58.5418
7.0000	0.8537	0.4285	58.6612
8.0000	0.8677	0.3824	58.7154
9.0000	0.8792	0.3493	58.5172
10.0000	0.8898	0.3185	58.7097
11.0000	0.8991	0.2900	58.6856
12.0000	0.9092	0.2626	58.4942
13.0000	0.9159	0.2430	58.5965
14.0000	0.9229	0.2192	58.6260
15.0000	0.9304	0.2036	58.3455
16.0000	0.9355	0.1864	58.5057
17.0000	0.9388	0.1752	58.5110
18.0000	0.9398	0.1727	58.4009
19.0000	0.9467	0.1513	58.4426
20.0000	0.9497	0.1471	58.4536
21.0000	0.9514	0.1398	58.3033
22.0000	0.9545	0.1333	58.4562
23.0000	0.9544	0.1304	58.3986
24.0000	0.9582	0.1191	58.3111
25.0000	0.9606	0.1126	58.4519
26.0000	0.9597	0.1133	58.3091
27.0000	0.9597	0.1144	58.4289
28.0000	0.9666	0.0980	58.4398
29.0000	0.9607	0.1111	58.2787
30.0000	0.9650	0.0982	58.4456
31.0000	0.9665	0.0966	58.3858
32.0000	0.9670	0.0955	58.2914
33.0000	0.9669	0.0968	58.4601
34.0000	0.9663	0.0963	58.3072
35.0000	0.9702	0.0867	58.4318
36.0000	0.9655	0.0967	58.4507
37.0000	0.9740	0.0763	58.2927
38.0000	0.9693	0.0900	58.4463
39.0000	0.9676	0.0942	58.4026
40.0000	0.9752	0.0737	58.3000
41.0000	0.9712	0.0842	58.4575
42.0000	0.9730	0.0804	58.3026
43.0000	0.9713	0.0821	58.4058
44.0000	0.9708	0.0849	58.4321
45.0000	0.9732	0.0804	58.2751
46.0000	0.9734	0.0747	58.4355
47.0000	0.9721	0.0800	58.3820
48.0000	0.9741	0.0784	58.3062
49.0000	0.9727	0.0781	58.4361
50.0000	0.9716	0.0818	58.2948
51.0000	0.9752	0.0722	58.4084
52.0000	0.9779	0.0669	58.3812
53.0000	0.9722	0.0800	58.4249
54.0000	0.9764	0.0680	58.2999
55.0000	0.9754	0.0725	58.3986
56.0000	0.9745	0.0753	58.4320
57.0000	0.9748	0.0735	58.2706
58.0000	0.9731	0.0781	58.4365
59.0000	0.9786	0.0617	58.3734
60.0000	0.9761	0.0698	58.2725
61.0000	0.9756	0.0709	58.4386
62.0000	0.9745	0.0733	58.2968
63.0000	0.9763	0.0688	58.4025
64.0000	0.9782	0.0653	58.4238
65.0000	0.9789	0.0620	58.2746
66.0000	0.9744	0.0754	58.4091
67.0000	0.9780	0.0657	58.3529
68.0000	0.9803	0.0594	58.2783
69.0000	0.9760	0.0703	58.4155
70.0000	0.9731	0.0775	58.2864
71.0000	0.9798	0.0617	58.4095
72.0000	0.9782	0.0648	58.3859
73.0000	0.9782	0.0634	58.4246
74.0000	0.9773	0.0666	58.3167
75.0000	0.9817	0.0548	58.4003
76.0000	0.9745	0.0731	58.4133
77.0000	0.9803	0.0577	58.2721
78.0000	0.9757	0.0697	58.4092
79.0000	0.9767	0.0678	58.3479
80.0000	0.9812	0.0539	58.2848
81.0000	0.9777	0.0630	58.4064
82.0000	0.9761	0.0673	58.2580
83.0000	0.9797	0.0603	58.3752
84.0000	0.9776	0.0657	58.4014
85.0000	0.9773	0.0667	58.2561
86.0000	0.9800	0.0591	58.3976
87.0000	0.9798	0.0595	58.3526
88.0000	0.9800	0.0588	58.2642
89.0000	0.9787	0.0630	58.3828
90.0000	0.9787	0.0618	58.2552
91.0000	0.9809	0.0553	58.3697
92.0000	0.9763	0.0681	58.3260
93.0000	0.9794	0.0604	58.3511
94.0000	0.9796	0.0597	58.2364
95.0000	0.9800	0.0576	58.3318
96.0000	0.9803	0.0565	58.3649
97.0000	0.9809	0.0566	58.2161
98.0000	0.9792	0.0620	58.3727
99.0000	0.9817	0.0541	58.3129
0.0000	0.4903	1.3972	58.8667
0.0000	0.5001	1.3679	61.2352
0.0000	0.5006	1.3739	59.7667
0.0000	0.4995	1.3708	59.8008
1.0000	0.6525	0.9672	60.6245
2.0000	0.7158	0.7994	60.2757
3.0000	0.7637	0.6744	60.4246
4.0000	0.7935	0.5916	60.2444
5.0000	0.8196	0.5233	60.4097
6.0000	0.8373	0.4664	60.3730
7.0000	0.8530	0.4272	60.4253
8.0000	0.8641	0.3907	60.4387
9.0000	0.8786	0.3552	60.6066
10.0000	0.8880	0.3211	60.4946
11.0000	0.8952	0.3003	60.7101
12.0000	0.9058	0.2697	60.5697
13.0000	0.9114	0.2543	60.3677
14.0000	0.9181	0.2377	60.4256
15.0000	0.9244	0.2182	60.3657
16.0000	0.9296	0.2035	60.4356
17.0000	0.9306	0.1942	60.3195
18.0000	0.9378	0.1802	60.2349
19.0000	0.9414	0.1683	60.3503
20.0000	0.9422	0.1619	60.2286
21.0000	0.9465	0.1498	60.3661
22.0000	0.9464	0.1567	60.3054
23.0000	0.9517	0.1369	60.3803
24.0000	0.9504	0.1416	60.4083
25.0000	0.9548	0.1280	60.2110
26.0000	0.9527	0.1366	60.4073
27.0000	0.9570	0.1231	60.3546
28.0000	0.9578	0.1233	60.2236
29.0000	0.9565	0.1250	60.3802
30.0000	0.9611	0.1134	60.2439
31.0000	0.9612	0.1116	60.3701
32.0000	0.9579	0.1194	60.3986
33.0000	0.9644	0.1040	60.2216
34.0000	0.9604	0.1123	60.4122
35.0000	0.9620	0.1081	60.2680
36.0000	0.9628	0.1046	60.2168
37.0000	0.9667	0.0954	60.3561
38.0000	0.9618	0.1090	60.2338
39.0000	0.9653	0.1009	60.3664
40.0000	0.9663	0.0970	60.3688
41.0000	0.9659	0.0997	60.2081
42.0000	0.9663	0.0980	60.4014
43.0000	0.9685	0.0884	60.2422
44.0000	0.9644	0.1006	60.2167
45.0000	0.9667	0.0956	60.3597
46.0000	0.9692	0.0883	60.2385
47.0000	0.9683	0.0923	60.3527
48.0000	0.9674	0.0932	60.3562
49.0000	0.9684	0.0917	60.2078
50.0000	0.9696	0.0849	60.3853
51.0000	0.9679	0.0922	60.1725
52.0000	0.9686	0.0921	60.1788
53.0000	0.9704	0.0877	60.3356
54.0000	0.9685	0.0905	60.2028
55.0000	0.9727	0.0823	60.3207
56.0000	0.9692	0.0875	60.3555
57.0000	0.9700	0.0870	60.1669
58.0000	0.9693	0.0870	60.3254
59.0000	0.9715	0.0820	60.2940
60.0000	0.9709	0.0859	60.1797
61.0000	0.9699	0.0852	60.3215
62.0000	0.9709	0.0843	60.1625
63.0000	0.9729	0.0794	60.3320
64.0000	0.9720	0.0831	60.3246
65.0000	0.9706	0.0846	60.1618
0.0000	0.4878	1.3958	58.3257
66.0000	0.9717	0.0818	60.3157
1.0000	0.6501	0.9817	57.5348
2.0000	0.7068	0.8207	57.7435
3.0000	0.7490	0.7106	57.8289
4.0000	0.7862	0.6145	58.3014
5.0000	0.8103	0.5418	58.1326
6.0000	0.8310	0.4870	58.1310
7.0000	0.8493	0.4345	57.9864
8.0000	0.8640	0.3939	57.9506
9.0000	0.8751	0.3592	57.9890
10.0000	0.8861	0.3279	57.9739
11.0000	0.8955	0.2992	57.7773
12.0000	0.9013	0.2807	57.8332
13.0000	0.9120	0.2525	58.4048
14.0000	0.9170	0.2362	58.5557
15.0000	0.9237	0.2194	58.3571
16.0000	0.9285	0.2007	58.3921
17.0000	0.9352	0.1877	58.3552
18.0000	0.9400	0.1754	58.2674
19.0000	0.9432	0.1659	57.4129
20.0000	0.9425	0.1603	57.4125
21.0000	0.9462	0.1546	57.4246
22.0000	0.9519	0.1399	57.5934
23.0000	0.9523	0.1381	57.4105
24.0000	0.9514	0.1383	57.3916
25.0000	0.9567	0.1269	57.4163
26.0000	0.9553	0.1266	57.5841
27.0000	0.9541	0.1291	57.4020
28.0000	0.9596	0.1171	57.3898
29.0000	0.9610	0.1150	57.4308
30.0000	0.9610	0.1125	57.5873
31.0000	0.9603	0.1145	57.4872
32.0000	0.9597	0.1133	57.3782
33.0000	0.9641	0.1051	57.4104
34.0000	0.9635	0.1047	57.5683
35.0000	0.9636	0.1050	57.3796
36.0000	0.9622	0.1106	57.3764
37.0000	0.9687	0.0897	57.4041
38.0000	0.9657	0.0999	57.5112
39.0000	0.9644	0.1029	57.3925
40.0000	0.9675	0.0957	57.4353
41.0000	0.9668	0.0977	57.4006
42.0000	0.9680	0.0946	57.5531
43.0000	0.9677	0.0935	57.7524
44.0000	0.9679	0.0920	58.1607
45.0000	0.9671	0.0974	58.2664
46.0000	0.9717	0.0843	58.3012
47.0000	0.9685	0.0908	58.1425
48.0000	0.9689	0.0890	58.1954
49.0000	0.9693	0.0887	58.3378
50.0000	0.9692	0.0888	58.5323
51.0000	0.9681	0.0919	58.5518
52.0000	0.9734	0.0779	58.4791
53.0000	0.9682	0.0922	58.4027
54.0000	0.9714	0.0857	58.2800
55.0000	0.9720	0.0797	58.3830
56.0000	0.9737	0.0769	58.4458
57.0000	0.9695	0.0877	58.5141
58.0000	0.9704	0.0865	58.7480
59.0000	0.9730	0.0782	57.5917
60.0000	0.9739	0.0770	57.4600
61.0000	0.9722	0.0811	57.3382
62.0000	0.9707	0.0832	57.3308
63.0000	0.9718	0.0799	57.7242
64.0000	0.9733	0.0767	58.3865
65.0000	0.9714	0.0832	58.1146
66.0000	0.9735	0.0771	58.0441
67.0000	0.9724	0.0809	58.1894
