current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.5114	1.3463	60.1221
0.0000	0.4883	1.3972	58.3570
1.0000	0.6530	0.9675	58.4082
2.0000	0.7136	0.8068	58.2846
3.0000	0.7571	0.6914	58.4123
4.0000	0.7873	0.6082	58.4332
5.0000	0.8138	0.5336	58.4410
6.0000	0.8339	0.4840	58.3184
7.0000	0.8504	0.4321	58.4307
8.0000	0.8632	0.3953	58.4546
9.0000	0.8768	0.3568	58.4305
10.0000	0.8853	0.3266	58.3179
11.0000	0.8954	0.2987	58.4211
12.0000	0.9066	0.2675	58.4683
13.0000	0.9142	0.2464	58.3909
14.0000	0.9204	0.2283	58.4513
15.0000	0.9268	0.2113	58.3038
16.0000	0.9322	0.1947	58.4641
17.0000	0.9343	0.1887	58.2937
18.0000	0.9427	0.1647	58.4413
19.0000	0.9420	0.1658	58.3003
20.0000	0.9484	0.1471	58.4317
21.0000	0.9490	0.1453	58.3952
22.0000	0.9551	0.1304	58.2879
23.0000	0.9550	0.1261	58.4332
24.0000	0.9571	0.1228	58.2895
25.0000	0.9581	0.1191	58.4012
26.0000	0.9603	0.1144	58.4160
27.0000	0.9612	0.1104	58.4068
28.0000	0.9630	0.1055	58.2844
29.0000	0.9628	0.1057	58.3858
30.0000	0.9640	0.1050	58.4130
31.0000	0.9643	0.1020	58.3870
32.0000	0.9660	0.0986	58.2741
33.0000	0.9665	0.0962	58.3786
34.0000	0.9673	0.0943	58.3859
35.0000	0.9640	0.1015	58.3725
36.0000	0.9709	0.0851	58.2625
37.0000	0.9699	0.0863	58.3836
38.0000	0.9712	0.0846	58.3233
39.0000	0.9679	0.0917	58.3599
40.0000	0.9709	0.0839	58.2444
41.0000	0.9710	0.0842	58.3440
42.0000	0.9699	0.0881	58.3757
43.0000	0.9743	0.0759	58.3072
44.0000	0.9684	0.0917	58.3548
45.0000	0.9751	0.0746	58.2242
46.0000	0.9725	0.0812	58.3825
47.0000	0.9740	0.0749	58.2139
48.0000	0.9720	0.0822	58.3707
49.0000	0.9742	0.0752	58.2039
50.0000	0.9749	0.0748	58.3573
51.0000	0.9729	0.0804	58.2956
52.0000	0.9754	0.0718	58.2118
53.0000	0.9745	0.0752	58.3478
54.0000	0.9740	0.0734	58.2010
55.0000	0.9734	0.0779	58.3235
56.0000	0.9751	0.0732	58.2015
57.0000	0.9789	0.0623	58.3091
58.0000	0.9734	0.0784	58.3304
59.0000	0.9746	0.0719	58.3123
60.0000	0.9778	0.0659	58.1955
61.0000	0.9759	0.0716	58.3027
