current_epoch	train_loss_comb	train_acc_comb	epoch_train_time
0.0000	1.2363	0.5477	192.0917
0.0000	1.1951	0.5587	196.6519
1.0000	0.6628	0.7664	185.5508
2.0000	0.4727	0.8365	185.3705
3.0000	0.3720	0.8731	186.3671
4.0000	0.3087	0.8934	185.0096
5.0000	0.2559	0.9113	185.1464
6.0000	0.2201	0.9244	184.7614
7.0000	0.1943	0.9331	185.0847
8.0000	0.1675	0.9410	183.6795
9.0000	0.1503	0.9470	184.1971
10.0000	0.1377	0.9516	185.2781
11.0000	0.1246	0.9567	183.7969
12.0000	0.1168	0.9589	184.9673
13.0000	0.1069	0.9627	185.3434
14.0000	0.1016	0.9648	184.7610
15.0000	0.0968	0.9660	187.0005
16.0000	0.0947	0.9673	186.7607
17.0000	0.0896	0.9687	186.7343
18.0000	0.0891	0.9682	188.2304
19.0000	0.0861	0.9702	187.2368
20.0000	0.0826	0.9708	187.4912
21.0000	0.0851	0.9691	187.4966
22.0000	0.0827	0.9704	186.2808
23.0000	0.0768	0.9730	186.1958
24.0000	0.0807	0.9720	187.3958
25.0000	0.0774	0.9735	186.2637
26.0000	0.0701	0.9756	186.3978
27.0000	0.0747	0.9744	188.2443
28.0000	0.0774	0.9739	185.8478
29.0000	0.0678	0.9768	187.1296
30.0000	0.0649	0.9781	186.3950
31.0000	0.0654	0.9779	186.9115
32.0000	0.0638	0.9779	186.3137
33.0000	0.0636	0.9784	186.0185
34.0000	0.0638	0.9776	185.2483
35.0000	0.0643	0.9778	185.2874
36.0000	0.0590	0.9799	186.2905
37.0000	0.0591	0.9788	185.0914
38.0000	0.0573	0.9803	185.8841
39.0000	0.0610	0.9784	186.4767
40.0000	0.0512	0.9824	185.0951
41.0000	0.0470	0.9842	184.7145
42.0000	0.0483	0.9839	185.4373
43.0000	0.0515	0.9829	184.7583
44.0000	0.0505	0.9828	185.0384
45.0000	0.0506	0.9833	184.9783
