current_epoch	train_acc	train_loss	target_train_acc	target_train_loss	epoch_train_time
0.0000	0.5374	1.2720	0.3810	1.8986	222.5704
1.0000	0.7219	0.7752	0.7143	0.9696	223.9987
2.0000	0.7915	0.5903	0.2381	3.6110	222.4368
3.0000	0.8354	0.4665	0.9048	0.2839	222.5640
4.0000	0.8678	0.3796	0.9048	0.2196	222.8176
5.0000	0.8892	0.3163	0.7619	0.5555	222.8188
6.0000	0.9056	0.2711	0.8333	0.4002	222.6852
7.0000	0.9184	0.2340	1.0000	0.0645	223.0532
8.0000	0.9290	0.2034	0.7381	0.7064	222.9674
9.0000	0.9386	0.1769	0.6190	1.0173	222.5668
10.0000	0.9441	0.1587	0.4762	2.0868	222.5716
11.0000	0.9496	0.1425	0.7143	0.8621	222.6931
12.0000	0.9534	0.1330	0.8333	0.4447	222.5292
13.0000	0.9583	0.1194	0.5952	1.1653	223.2296
14.0000	0.9596	0.1141	0.4048	2.5668	223.3594
15.0000	0.9611	0.1104	0.7619	0.4849	222.3728
16.0000	0.9641	0.1025	0.7381	0.6812	221.6660
17.0000	0.9646	0.1027	0.8095	0.4523	226.3970
18.0000	0.9683	0.0916	0.5952	1.0948	223.0420
19.0000	0.9671	0.0930	0.8810	0.2666	222.5286
20.0000	0.9691	0.0891	0.8333	0.6550	222.4937
21.0000	0.9702	0.0856	0.7143	0.8487	220.5477
22.0000	0.9696	0.0861	0.8095	0.5157	219.6079
23.0000	0.9704	0.0841	0.7381	0.5430	219.8834
24.0000	0.9739	0.0736	0.5476	1.3736	219.9982
25.0000	0.9689	0.0859	0.9048	0.3994	220.9582
26.0000	0.9758	0.0707	1.0000	0.0470	221.1772
27.0000	0.9714	0.0804	0.7143	0.6735	221.3310
28.0000	0.9747	0.0720	0.8333	0.4784	222.5507
29.0000	0.9744	0.0739	0.6429	1.0936	222.8400
30.0000	0.9756	0.0721	0.8810	0.3355	222.0993
31.0000	0.9767	0.0684	0.9286	0.1713	222.2375
32.0000	0.9756	0.0689	0.9286	0.1972	222.4373
33.0000	0.9790	0.0605	0.7381	0.9970	222.4461
34.0000	0.9774	0.0657	0.8095	0.5815	222.1026
35.0000	0.9759	0.0687	0.8095	0.7004	221.8488
36.0000	0.9808	0.0560	0.9048	0.4182	222.5984
37.0000	0.9811	0.0559	0.7619	0.6746	222.8469
38.0000	0.9802	0.0577	0.8333	0.3773	222.8773
39.0000	0.9806	0.0538	0.7619	0.6285	221.2143
40.0000	0.9800	0.0582	0.6905	1.1905	221.4616
41.0000	0.9823	0.0527	0.6429	0.9204	222.8025
42.0000	0.9828	0.0511	0.8810	0.3231	223.7951
43.0000	0.9819	0.0530	0.8571	0.2699	222.9377
44.0000	0.9818	0.0532	0.8095	0.4761	223.6457
45.0000	0.9839	0.0482	0.9524	0.1367	223.0478
46.0000	0.9862	0.0405	0.8095	0.5055	220.8733
47.0000	0.9849	0.0447	0.9048	0.2181	220.7221
48.0000	0.9855	0.0423	0.9762	0.1206	221.0415
49.0000	0.9837	0.0469	0.6429	1.1802	221.4580
50.0000	0.9868	0.0387	0.7381	0.7227	220.6166
51.0000	0.9842	0.0464	0.8333	0.4732	222.0848
52.0000	0.9889	0.0332	0.8810	0.4764	220.8316
53.0000	0.9863	0.0392	0.9286	0.1596	220.8781
54.0000	0.9898	0.0320	0.8095	0.6572	221.2937
55.0000	0.9890	0.0327	0.8095	0.5177	220.8920
56.0000	0.9898	0.0309	0.9762	0.1597	221.2694
57.0000	0.9914	0.0267	0.9048	0.2430	222.2490
58.0000	0.9919	0.0252	0.8333	0.6319	222.9227
59.0000	0.9905	0.0279	0.8333	0.4179	222.8664
60.0000	0.9911	0.0270	0.9048	0.2223	222.8280
61.0000	0.9901	0.0294	0.9048	0.1988	220.9923
62.0000	0.9919	0.0246	0.9524	0.1774	221.2711
63.0000	0.9924	0.0231	0.8810	0.3950	221.6647
64.0000	0.9911	0.0262	0.8810	0.3298	221.3885
65.0000	0.9929	0.0224	0.9524	0.1209	220.8118
66.0000	0.9955	0.0142	0.8810	0.4071	220.7745
67.0000	0.9978	0.0076	0.9048	0.1923	220.8411
68.0000	0.9985	0.0058	0.9524	0.2662	220.8347
69.0000	0.9983	0.0065	0.9762	0.0747	220.7381
70.0000	0.9982	0.0056	1.0000	0.0315	220.7264
71.0000	0.9963	0.0116	0.8810	0.3712	220.9691
72.0000	0.9971	0.0091	0.9762	0.0667	220.6571
73.0000	0.9992	0.0035	1.0000	0.0141	220.6602
74.0000	0.9998	0.0013	1.0000	0.0207	220.9079
75.0000	0.9999	0.0008	1.0000	0.0052	221.3186
76.0000	1.0000	0.0003	1.0000	0.0062	222.3905
77.0000	1.0000	0.0003	1.0000	0.0054	220.8567
78.0000	1.0000	0.0002	1.0000	0.0025	220.9552
79.0000	1.0000	0.0003	1.0000	0.0024	221.1174
80.0000	1.0000	0.0003	1.0000	0.0022	221.1982
81.0000	1.0000	0.0003	1.0000	0.0031	221.7832
82.0000	1.0000	0.0003	1.0000	0.0026	222.7267
83.0000	1.0000	0.0003	1.0000	0.0035	223.0162
84.0000	1.0000	0.0003	1.0000	0.0031	222.7522
85.0000	1.0000	0.0003	1.0000	0.0033	221.2144
86.0000	1.0000	0.0003	1.0000	0.0031	221.2423
87.0000	1.0000	0.0003	1.0000	0.0025	222.6852
88.0000	1.0000	0.0003	1.0000	0.0019	222.8146
89.0000	1.0000	0.0003	1.0000	0.0026	223.0699
90.0000	1.0000	0.0003	1.0000	0.0026	221.1264
91.0000	1.0000	0.0003	1.0000	0.0027	221.4887
92.0000	1.0000	0.0003	1.0000	0.0026	222.7841
93.0000	1.0000	0.0003	1.0000	0.0021	222.4780
94.0000	1.0000	0.0003	1.0000	0.0020	222.6280
95.0000	1.0000	0.0003	1.0000	0.0017	222.3172
96.0000	1.0000	0.0003	1.0000	0.0023	222.7027
97.0000	1.0000	0.0003	1.0000	0.0024	221.4494
98.0000	1.0000	0.0003	1.0000	0.0017	221.1576
99.0000	1.0000	0.0003	1.0000	0.0021	221.1604
100.0000	1.0000	0.0003	1.0000	0.0019	221.1751
101.0000	1.0000	0.0003	1.0000	0.0014	221.8563
102.0000	1.0000	0.0003	1.0000	0.0020	222.7762
103.0000	1.0000	0.0003	1.0000	0.0018	221.9358
104.0000	1.0000	0.0003	1.0000	0.0017	221.4867
105.0000	1.0000	0.0003	1.0000	0.0014	221.4867
106.0000	1.0000	0.0003	1.0000	0.0015	221.8521
107.0000	1.0000	0.0003	1.0000	0.0017	222.7902
108.0000	1.0000	0.0003	1.0000	0.0016	222.7884
109.0000	1.0000	0.0003	1.0000	0.0013	222.6596
110.0000	1.0000	0.0003	1.0000	0.0014	222.7185
111.0000	1.0000	0.0003	1.0000	0.0013	222.5952
112.0000	1.0000	0.0003	1.0000	0.0012	222.5225
113.0000	1.0000	0.0003	1.0000	0.0015	222.5988
114.0000	1.0000	0.0003	1.0000	0.0016	222.1611
115.0000	1.0000	0.0003	1.0000	0.0022	222.4921
116.0000	1.0000	0.0003	1.0000	0.0020	221.5983
117.0000	1.0000	0.0003	1.0000	0.0019	221.3166
118.0000	1.0000	0.0003	1.0000	0.0016	220.9257
119.0000	1.0000	0.0003	1.0000	0.0018	219.7283
