current_epoch	train_loss_mino_adv	train_acc_mino_adv	train_loss_comb	train_acc_comb	epoch_train_time
0.0000	3.4234	0.1913	1.1208	0.6010	260.5678
1.0000	3.7711	0.1866	0.5690	0.8016	254.9093
2.0000	3.9750	0.1839	0.4016	0.8623	253.0495
3.0000	4.0291	0.1793	0.3171	0.8913	252.5062
4.0000	4.3503	0.1714	0.2573	0.9111	252.8027
5.0000	4.4723	0.1843	0.2128	0.9257	253.6317
6.0000	4.3387	0.1803	0.1810	0.9382	253.2524
7.0000	4.2141	0.1918	0.1574	0.9455	253.2644
8.0000	4.4187	0.1744	0.1400	0.9520	253.1098
9.0000	4.1504	0.2083	0.1220	0.9580	253.1161
10.0000	4.3726	0.2029	0.1171	0.9594	253.0319
11.0000	4.4903	0.1981	0.1058	0.9633	253.2467
12.0000	4.6344	0.1687	0.0981	0.9660	253.6490
13.0000	4.2488	0.1986	0.0931	0.9676	254.6991
14.0000	4.1004	0.2355	0.0918	0.9675	253.8964
15.0000	4.1412	0.2260	0.0892	0.9688	254.8364
16.0000	4.2431	0.2122	0.0808	0.9720	254.3850
17.0000	4.0845	0.2131	0.0859	0.9695	253.1748
18.0000	4.0593	0.2020	0.0769	0.9734	253.4094
19.0000	4.1297	0.2276	0.0760	0.9734	255.0547
20.0000	4.0937	0.2242	0.0752	0.9739	253.1050
21.0000	4.4025	0.1952	0.0691	0.9758	253.5104
22.0000	4.5219	0.1979	0.0733	0.9750	254.2777
23.0000	4.5757	0.1941	0.0735	0.9746	254.3843
24.0000	4.5763	0.1959	0.0673	0.9766	254.7146
25.0000	4.1741	0.2133	0.0712	0.9752	254.7711
26.0000	4.1329	0.2244	0.0692	0.9760	254.6115
27.0000	4.1334	0.2092	0.0706	0.9745	254.8090
28.0000	4.3507	0.2004	0.0668	0.9765	254.7456
29.0000	4.1361	0.2267	0.0626	0.9781	254.7036
30.0000	4.3993	0.2034	0.0629	0.9776	254.6089
31.0000	4.3269	0.2095	0.0585	0.9797	254.6557
32.0000	4.1507	0.2197	0.0592	0.9793	254.6608
33.0000	4.1569	0.2188	0.0563	0.9807	254.5778
34.0000	4.2319	0.2264	0.0520	0.9823	255.1665
35.0000	4.0624	0.2201	0.0601	0.9795	252.8650
36.0000	4.3800	0.2147	0.0521	0.9824	252.7808
37.0000	4.1211	0.2226	0.0530	0.9818	252.7844
38.0000	4.2146	0.2049	0.0527	0.9813	252.7705
39.0000	4.2816	0.2047	0.0495	0.9832	252.8567
40.0000	4.5161	0.1945	0.0528	0.9810	253.0359
41.0000	4.2004	0.2271	0.0426	0.9857	252.5947
42.0000	4.2613	0.2163	0.0490	0.9833	252.3361
43.0000	4.5678	0.1837	0.0451	0.9847	250.2927
44.0000	4.4589	0.1959	0.0478	0.9837	250.2812
45.0000	4.3992	0.1920	0.0413	0.9859	250.3028
46.0000	4.3093	0.2158	0.0458	0.9841	250.1634
47.0000	4.1707	0.2174	0.0273	0.9910	250.1223
48.0000	4.3792	0.2090	0.0403	0.9864	250.0898
49.0000	4.2127	0.2074	0.0424	0.9859	250.0321
50.0000	4.2899	0.2081	0.0362	0.9882	250.1318
51.0000	4.3517	0.2129	0.0333	0.9889	250.0788
52.0000	4.2596	0.2201	0.0368	0.9872	250.0604
53.0000	4.4586	0.2024	0.0337	0.9887	250.0958
54.0000	4.5818	0.1904	0.0296	0.9902	250.0042
55.0000	4.4404	0.1975	0.0282	0.9906	250.1018
56.0000	4.5678	0.1673	0.0291	0.9904	250.1865
57.0000	4.3870	0.1966	0.0249	0.9922	250.2627
58.0000	4.4756	0.1934	0.0255	0.9913	250.2529
59.0000	4.3595	0.2124	0.0288	0.9903	250.9293
60.0000	4.4259	0.2176	0.0257	0.9917	251.5562
61.0000	4.2464	0.2258	0.0208	0.9932	253.0993
62.0000	4.3323	0.2099	0.0151	0.9956	252.0471
63.0000	4.2860	0.2095	0.0128	0.9962	251.9378
64.0000	4.1231	0.2188	0.0222	0.9924	252.3443
65.0000	4.1507	0.2274	0.0250	0.9919	253.7013
66.0000	4.4061	0.1902	0.0222	0.9928	253.8093
67.0000	4.3872	0.2031	0.0162	0.9946	253.8629
